,0
240,"Являюсь клиентом банка не так давно, почти год, но за это время уже сложилось кое-какое впечатление о банке, и оно - положительное"
241,20.07.2022г
242,Хочу поблагодарить К
243,"Обратился с ситуацией о нелогичном списании комиссии за покупку в сторонних (не партнёрских) пунктах продаж , без подключения ""все и везде"" допуслуги как выяснилось, хотя я думал она подключена одновременно с основной услугой ""халва десятка"""
244,"Очень много заслуженного и честного негатива в адрес ТБ: проблемы не решаются по полгода, необоснованные блокировки, не работающие карты, обман с условиями и неадекватная поддержка"
245,Обратились в отделение г
246,"Здравствуйте, была сделка без использования ипотеки через Сбербанк"
247,"Здраствуйте, сегодня 25.07.2022 С 21-30 2 оператора Ольга и Виктория, отказывались принять претензию на технические сбои и не корректно отображающие операции за 2021 год"
248,Всегда являлся сторонником Тинькофф банка и в целом их экосистемы (например Каско и Осаго также в Тинькофф) - даже по моим отзывам на банки.ру это понятно
249,"Из-за ошибки сотрудника кол центра банка мне начислены проценты и утрачен льготный период, т.к"
250,"Бонусная программа Сбербанка ""Спасибо"" Долгое время пользовался Бонусами ""Спасибо"" от Сбербанка (далее Бонусы и СБ соответственно), то что маленький % основных начислений тоже устраивало (потихоньку накапливались), но с осени 2020 года Бонусы..."
251,"Оформила кредит через приложение, кредит одобрен"
252,18 февраля обратился в отделение г.Воронежа.очереди не было
253,"Самый отстойный банк из тех, с которыми сталкивался"
254,Добрый день! 24.04.22 оформила через приложение МТС банка кредит наличными
255,Понадобилась справка с реквизитами карты
256,Сегодня 10.07.2022 г воспользовалась картой Халва
257,"Купившись на обещания банка о льготном обслуживании, я перевел свою зарплату в ВТБ и выпустил зарплатную карту"
258,"20 марта сделал попытку дистанционного открытия вклада ""Пополняемый"""
259,"Добрый день, вообщем обслуживанием данного банка доволен, но постоянно какие то проблемы 1) хотел сменить номер привязанный к мобильному приложению, находясь в другом регионе так оказывается это можно сделать лишь в одном банкомате, в других..."
260,"Не удалось установить мобильное приложение, тк в плэй маркете андроида его нет"
261,"Здравствуйте! У меня в тинькофф банке (с премиальной подпиской, стоимостью 2к в месяц) в последнее время был персональный менеджер Светлана Г-ва"
262,Хочу поделиться отзывом о Хоум Кредит Банке
263,"Появилась надобность сделать мне электронную подпись, заказал в Совкомбанке, оплатил 17.08.2022"
264,Здравствуйте! Я являюсь должником(счета арестованы)
265,"20.06.22 поступила СМС, от  ВТБ  что у меня изменен телефон для онлайн покупок по карте, так как мошенников сейчас развелось тьма, я конечно не поверила данной СМС так как телефон в ВТБ можно поменять только при личном визите, но на всякий случай..."
266,"И увидел я тарифы банка, и было это хорошо! Решил открыть счет в данном банке - созвон, договорились о встрече"
267,"Я достаточно лояльно отношусь в этому банку и умею обходить стандартные сложности во взаимодействии с ним, по возможности избегая общения с Ситифоном"
268,"Добрый день! Думала этот вопрос решается быстро, в связи с изменением паспортных данных обратилась в банк, там сотрудница сделала ксерокопию моего паспорта, заполнила анкету и отпустила, я подумала какой быстрый сервис, и поставила оценку 5 в..."
269,"В сентябре 2021 года, я обратилась в Тинькофф банк, чтоб открыть карту Джуниор для ребенка"
270,"25 декабря 2021 я зашёл в приложение альфа-банка и начал искать условия перевода по кредитной карте, и нашёл пункт в котором на снятие наличных как и переводы приравнены, и на них у меня без комиссии согласно тарифу 50.000 рублей"
271,Научите свой персонал умению работать и не тратить время клиента
272,"8 апреля 2022 года я совершила денежный перевод по СБП из Совкомбанка себе в Экспобанк, деньги успешно ушли, но не пришли"
273,"30.09.2022 в 09:18 я воспользовалась банкоматом Газпромбанка, расположенного по адресу Свердловская область, город Нижний Тагил, Октябрьский проспект, 18 для снятия наличных 40 000 рублей с карты банка Открытие"
274,"Здравствуйте!  Давно являюсь клиентом Тинькофф банка и никогда ранее не имел никаких нареканий к его работе, однако вынужден изменить свое мнение и высказать крайне негативное отношение к деятельности банка в настоящее время..."
275,"Настойчивые работники Сбербанка уговорили меня подключиться к ""Сбербанк премьер"""
276,Договор от 21.10.21 №******0708 Интересно стало с момента одобрения
277,Нахожусь за границей
278,Здравствуйте! 1
279,"""Прекрасный Банк"""
280,"Добрый день! Являюсь клиентов банка очень давно, имею все основные продукты банка - дебетовая, кредитная карты + инвестиции, покупал страховки и т.д"
281,Хочу выразить благодарность за высокий уровень компетенции сотрудникам офиса города Малоярославец
282,Пока особых проблем с банком не испытываю
283,Здравствуйте! 21 августа 2021 г
284,"Редко пишу негативные отзывы, но ПАО ""Сбербанк"" бьет все рекорды"
285,"Лучший менеджер который может только быть для меня в бизнесе ! Пунктуален , делает даже то что обещал месяцем ранее и именно в тот день и час как и обещал ! Решает вопросы быстро четко и разумеется с тем условием что устаревает его клиента !..."
286,Прошу  руководство  сбербанка  рассмотреть вопрос об отношении некоторых сотрудников к клиентам сбербанка
287,Не советую вообще открывать озон карту
288,"Все что касается удалённого обслуживания, кажется что с клиентами общаются кто попало, но точно не сотрудники представляющие организацию"
289,"Здравствуйте, хочу рассказать вам о том как работает отдел по совместной доставке"
290,15.07.22 Решила получить кэшбек за покупку билетов через приложение Тинькофф
291,Очень оперативная и результативная работа сотрудников Тинькофф банка
292,"Здравствуйте!  Хочу написать отзыв о том, как отвечает клиенту сотрудник ДомКлик через ВК"
293,"Я прекрасно представляю что банк мне ответит стандартной отпиской, мне придется заплатить, и ничего не поменяется"
294,Заключил сделку по продаже своего земельного участка через распиаренный сберовский сервис сопровождения сделки и безопасных расчетов ДомКлик
295,"Огромная благодарность сотрудникам банка Совкомбанк! Деньги с которыми я уже распрощалась вернулись ко мне, что может быть приятнее"
296,"Пытаюсь оформить возврат средств от иностранного магазина, просто шлют отписками, хотя другие банки деньги возвращают, на мой взгляд и не только на мой, банк просто не хочет разбираться в проблеме"
297,8.07 открыла эскроу счёт для ипотеки в МКБ
298,"Оформил мультикарту втб по акции 5 октября, получил и сделал первую покупку 7 октября"
299,"В декабре месяце, через мобильное приложение супруги, закрыл кредитную карту и счет"
300,Добрый день! Хочу оставить свой отзыв об МТС Банке и его сотруднице Ирине
301,"Не удается перевести деньги с долларового счета При переводе между своими счетами или при снятии денег с банкомата, выдает ошибку: ""По техническим причинам сервис временно недоступен"
302,"Большая проблема забрать вклад, и получить проценты по вкладу, списываются начисленные проценты за снятие средств, которые я не снимала с данного вклада"
303,Несколько недель по выходным поступают звонки с автоматической рекламой от данного банка
304,"Клиентом банка являюсь 4 года, имеется только дебетка, до недавнего времени проблем не возникало, но стоило связаться с офисом банка и показался явный слив"
305,По рекламе в Инстаграм привлекла карта с кэшбэком на коммуналку
306,Сделайте уже наконец один единственный банкомат в селе Манычское
307,"Пользуюсь услугами банка Совком и его картой ""Халва"" с 2018 года"
308,16.08.2022г мной был открыт Киви кошелёк
309,"Являюсь 10 лет клиентом банка ВТБ, столкнулся с проблемой-невозможно воспользоваться мультибонусами ВТБ"
310,"Итак, счёт зарегистрировал в Озон.Счёт (Еком банк) 13 июня"
311,"Беспомощный банк в 21 веке не в состоянии отменить по просьбе клиента платёж, совершённый пару минут назад"
312,"В середине апреля 2022 года забрал с почты письмо из Москвы, в котором было уведомление о привлечении ООО ""Национальная служба взыскания"" для осуществления взаимодействия с должником ПАО ""МТС-Банк"""
313,Хочу оставить отзыв на посещение офиса банка в Воронеже
314,"Оперативно помогли решить проблемыу, связанную с потерей телефона"
315,"Сегодня в чате банка меня битый час два подряд сотрудника пытались убедить в том, что текущей ночью изменены законы математики и 1531 это меньше, чем 853 и по этому банк отклоняет операцию на сумму 853 рубля с формулировкой ""недостаточно средств""..."
316,"Всех приветствую, сложилась у меня с банком Тинькофф весьма интересная ситуация"
317,16.07.2022г
318,Сегодня 06.02.22 г решил пополнить свою смарт-карту Мособлгаза через банкомат Сбербанка №519163
319,"По существу ситуации: при оформлении вклада в отделение ""Алтуфьевский""  (07.11.2020) сотрудник банка уговорил совместно с вкладом, для увеличения процентной ставки по вкладу, разделить денежные средства между накопительным вкладом и вкладом..."
320,11.05.2022 пошел пополнять счет для списания очередного платежа по кредиту
321,"Здравствуйте! Невозможно скорректировать данные и как следствие, актуализировать профиль Проблеме - вторая неделя, а воз и ныне там, из списка обращений..."
322,"Банк очень нравился, многим рекомендовал, но 23.09.2021 примерно в 13 часов произошло очень неприятное событие - задвоение операции от 22.09.2021 01:50 на сумму 99499 руб (оплата в ELDORADO через сайт)"
323,Альфа-Банк стремительно сдувается по всем направлениям
324,"Хочу оставить жалобу на сотрудника Втб ( фамилию которого мне так и не сказали), который без моего ведома и посещения банка заблокировал мне учетную запись 1 декабря в втб онлайн по собственному желанию! На горячей линии сказали что блокировка..."
325,"Подал заявление в декабре месяце на кредитную карту Максимум - в то время была акция, по которой обслуживание на весь срок обещали бесплатное, плюс начисление на положительный остаток от 10К"
326,В целом банк нормальный
327,"Здравствуйте! Хочу поделиться своими впечатлениями по работе с банком ""Точка"""
328,"В апреле,до даты списания по кредиту обратился в контактный центр Альфа-Банка для смены даты ежемесячного платежа"
329,Являюсь клиентом данного банка с начала февраля
330,"История с альфа-банком началась ещё два с половиной месяца назад, когда банк без каких-либо внятных причин ограничил доступ к личному кабинету"
331,"- Оплатила ЖКХ и обнаружила, что теперь через личный кабинет я не могу получить квитанцию с реквизитами оплаты"
332,У папы (71 год) пенсию перевели в ВТБ
333,"Обратился в отделение Братиславское 28.09 сотрудники помогли с Интернет Банком, показали как можно удобно из дома вносить платёж по кредиту и досрочно его погашать"
334,Хочу поделиться своей историей об опыте общения со Сбербанком
335,"Неделю назад в онлайн приложение банка жене стали сыпаться штрафы о нарушениях ПДД из Питера на другого человека, в общей сложности пришло за несколько дней на сумму 10000р"
336,Невозможно пополнить cчёт Альфы в долларах по номеру счёта через банкомат Альфы (иногда удавалось пополнить максимум на 100$)
337,Являюсь постоянным зарплатных клиентом банка
338,"Месяц не могут продлить страхование по ипотеке!! 13.02.2022 оплачен договор страхования, квитанция об оплате была отправлена на почту 1233@vtb.ru 15.02.2022, но в личном кабинете информация так и не обновилась по сегодняшний день"
339,Пригласил друга в Тинькофф
340,"С 24.06.2022 перестали работать переводы (СБП, по номеру телефона, по номеру карты и тд) исходящие и входящие"
341,"Обращался 100 раз с 2018 года, с просьбой отключить спам рассылка на электронный адрес"
342,"Добрый день, расскажу вам о своём опыте с этим банком, заказал у них карту кредитную , поставил лимит, пришла смс с одобрением  Уважаемая (ый) Даниил В.!! Ваша карта готова"
343,"Имею карту Tinkoff Black, наличные снимаю не каждый месяц, давным-давно установила в интернет-банке низкие лимиты на снятие наличных в месяц и в сутки"
344,"В августе мной была открыта дебетовая карта по реферальной ссылке (Программа лояльности ""Банк для друзей"") и выполнены условия для начисления вознаграждения"
345,С января 20го года держу срочный вклад в этом банке
346,"Обратился на горячую линию 16.02.2022 в 9:07 по вопросу приобретения имущества на Portal DA, оператор говорила заученные фразы многократно их повторяя, на вопросы ответить не смогла, стала нервничать и хамить, затем просто положила трубку со..."
347,"3 марта пришел снять Евро со счета в банке, сумма не большая 325 евро"
348,"Услугами банка пользовался около 4 лет и всегда все было хорошо, но в конце октября 2021 года решил оформить кредитную карту 100 дней без % так как на сайте и в приложении Альфа Банка было обещано, что 1 ый год обслуживания будет бесплатным для..."
349,Добрый день! Сегодня возникла необходимость зайти в личный кабинет мне и мужу
350,"Узнав из интернета о программе кэшбэка ""Можно все"",  решила оформить себе карту"
351,Не первый год пользуюсь услугами банка
352,"Здравствуйте, мной был открыт счёт и была оформлена дебетовая карта в банке ""Открытие"" 07.12.2017"
353,"когда начнёте хоть что-то нормальное делать На горячей линии вообще не понятно , что за «сервис» работает ."
354,"Здравствуйте! ЭТО КОГДА? Через день, неделю, месяц, год?Когда?«Уважаемый Дмитрий Михайлович! В ответ на Вашу апелляцию сообщаем, что повышенное вознаграждение от партнера «МегаФон» будет зачислено на Ваш бонусный счет вближайшее время.»   До этого..."
355,"23.08.2022 в Мытищинском отделении оформила новую карту, чтобы на нее были переведены средства с другой, заблокированной"
356,Добрый день! Хочу оставить отзыв о банке и качестве обслуживания
357,"На днях в мобильном приложении ""пропали"" мои карты"
358,У мужа был потребительский кредит
359,"Совершалась операция в интернет банке - маме пенсионерке закрывали вклад (это даже не вывод средств - а закрытие вклада, для переоткрытия с другими условиями)"
360,Я совершила оплату ТСП с карты VISA Альфа Банка
361,"Альфа-банк, привет! Хотел узнать, что надо такого, чтобы в чате за 2 часа я пообщался с 7 сотрудниками? Почему у операторов желание только слить клиента? Обратился в чат с просьбой закрыть счет и тут началось"
362,В течении определенного времени по постановлению ФССП у меня удерживали ДС
363,"31.03.2022 мне как физическому лицу, с банка, который находится в Ирландии, был совершен перевод в долларах США"
364,"Банк ВТБ неоднократно игнорирует просьбы, заявления, претензии об исключении моего номера телефона из любых рекламных рассылок или звонков"
365,"Обращение в банк 12311301 Начну с того что это мой любимый банк и я постоянный клиент, всегда имею минимум два продукта открытых"
366,В конце прошлого года моё внимание привлекли многочисленные сообщения об акциях для новых клиентов Росбанка при оформлении карты МожноВСЁ
367,"Здравствуйте! У меня изменился контактный номер, старым сейчас пользуется посторонний человек (которого я не знаю совершенно)"
368,Вот и пролетели 10 лет моего общения с банком
369,"Здравствуйте,прошу разобраться в моей ситуации и решить данный инцидент,который случился из за халатности Сбербанка"
370,2 января 2022 г
371,Принудительно перевели в Совкомбанк кредитную карту Восточного
372,Оформил подписку сберпрайм 10.12.20 года
373,"Посвящается Вот Так Банку, без которого подобные события были бы невозможны…    Disclaimer Все персонажи и события НЕ вымышленные Я знаю точно невозможное возможно… Д"
374,"Предлагают потребительский кредит , для него требуется Страхование жизни"
375,30.08.22г
376,"у меня премиальная карти ситибанка (priority), в пакет услуг по ней входит бесплатная страховка путешественников"
377,Не проходит перевод по СБП на номер телефона в Тинькофф банке
378,"Долго не могли подключить мобильный бан даже в головном офисе, приезжала туда несколько раз, сидела по два часа"
379,Доброго времени суток Сегодня 21.02.2022 в 12:50 по местному времени (г
380,Я являюсь ИП главой КФХ
381,Всем привет! Хочу поделиться своей историей
382,"28-02-2022  года, я позвонил в Колл-центр банка с просьбой о выдаче  средств в валюте с моего валютного счета"
383,Считаю банк «Тинькофф» одним из лучших банков в России
384,"НЕДОБРОСОВЕСТНЫЙ БАНК!  11.12.2021 решил в ТЦ РИГАМОЛЛ ( банкомат в магазине азбука вкуса маркет) через банкомат денег закинуть на карту,  достал пачку и сунул в банкомат, банкомат деньги сожрал, но выдал ошибку «превышен размер купюр, излишки..."
385,"Когда банк только запустил свои сервисы Pro и Premium в конце 2020 года, я решил попробовать премиальный сервис в деле"
386,Получили очень профессиональное и доброжелательное обслуживание у Евгения М-а
387,Ранее пользовался услугами этого банка
388,Подал заявку на кредитную карту 17.10
389,"дорогие друзья, перестаньте уже а? сколько можно"
390,"извиняюсь заранее за возможные грамматические ошибки в отзыве, пишу его быстро .."
391,"Никогда не думала, что столкнусь с такой проблемой с крупнейшим Банком"
392,Обратился в банк для закрытия счетов и закрытия договоров (далее УДБО)
393,"Баланс бонусного счёта уже не обновляется более 2 недель, хотя в истории покупок вижу сколько будет начислено бонусов,в службе поддержки постоянно отвечают что ждать,типа ошибка в приложении) Создал заявку, ожидание до 3 рабочих дней, время..."
394,Оформляла вклад под проценты
395,"Пишу от лица человека, который просто использует карту для оплаты покупок вживую и онлайн, для переводов и накопления некой суммы"
396,Прошу вернуть мои деньги
397,"Пару дней назад я клал 4000 рублей на свою карту в банкомате отделения банка и тут произошла крайне неприятная ситуация, банкомат просто завис"
398,"Выражаю огромную благодарность банку, а именно офису в городе Киров на Привокзальной площади 1, за компетентное обслуживание, за вежливое отношение, за помощь"
399,У меня произошел страховой случай с Библио-Глобус Туроператором
400,"Сегодня Обратилась в банк в отделение на К.Маркса,20"
401,"Здравствуйте, уже на протяжение двух недель невозможно перевести деньги в личном кабинете на сайте ВТБ онлайн"
402,"При обращении в чат относительно истекшей карты я попытался узнать будет ли она работать, так как банки автоматически продляли сроки действия истекших карт"
403,"Уважаемые из Газпромбанка, у вас там техподдержка есть, нет? Если на какие-то вопросы и можно закрыть глаза, типа, вселенского масштаба очереди в отделениях, недовольные лица консультантов во время диалога, то игнорирование вопросов в онлайн-чате…..."
404,"Добрый день, борюсь с ВТБ, банк не может закрыть счет"
405,"Добрый день! замечательный банк сделал акцию 10% за билеты на альфа путешествии, зарегистрировался и оплатил билеты через них, я уже не буду рассказывать что там нужен отдельный аккаунт и билеты потом в нем не показываются, вернемся к кешбеку..."
406,"05.03.2022г., оформил дебетовую карту от росбанка ""можно всё"" 10.03.2022 получил карту в отделении банка, оператор сообщил что проводится акция ""банк для друзей"", через пару дней поделился ссылкой на карту с другом, друг оформил карту..."
407,Являлся клиентом банка более 3 лет
408,"Пришёл 16.11.21 где-то около 17:00 в отделение в городе Санкт-Петербург по адресу Гражданский проспект 36 забрать дебетовую карту Generation, о которой указано, что она бесплатная"
409,Недавно стала клиентом банка
410,"Сегодня, 24 ноября, решил поехать в отделение, чтобы открыть вклад на крупную сумму"
411,"в категории ""услуги"" даже нет такого раздела....суть проблемы: в 2021 году в офисе банка подключили услуги ""сберпрайм"" попровать, так сказать"
412,"Почтабанк! Требую удалить свой номер телефона из вашей базы данных взыскания долгов! Когда-то видимо человек указал мой номер, теперь не платит чего-то вам, и звонят по вашей любимой схеме возврата долга: обзвонить всех, авось другие люди, видимо..."
413,"При оплате услуг картой стороннего банка *2026 в приложении и на сайте появляется сообщение ""Операция отклонена системой безопасности"
414,Я являюсь клиентом Абсолют банка уже много лет как физлицо и как ИП
415,"Увидела акцию на banki.ru от Росбанка ""150 лет надежности"" с повышенной ставкой по вкладу"
416,"Стал оплачивать коммунальные услуги через интернет бак ВТБ,а когда в июле пришла платежка за газ без учета платежей за последние 2-а месяца, после общения с представителями СоГаз из с.Чалтырь потребовались чеки об оплате"
417,"Когда мы подавали документы на визу в визовом центре в Москве, мне нужно было срочно сделать страховку для путешествий для нашей дочки"
418,Добрый день хочу оставить отзыв о вашем  « замечательном банке» что на этот раз опять у вас происходит самый отвратительный банк за время его пользования не одной положительной ситуации от вашего банка и от вашего мобильного приложения
419,г
420,"С лета прошлого года оплачивал коммунальные услуги с сайта Тинькофф банк картой  банка ""Русский Стандарт""  без комиссии со стороны ТБ"
421,14  февраля 2022  года  решил закрыть счет в ВТБ
422,"В данном банке я оформила кредит, сумма, срок и ставка меня устраивает, хорошие условия в нынешнее сложное время"
423,Я являюсь постоянным клиентом Тинькофф банка
424,"Являясь клиентом статуса ""Плюс"" Нахожусь в командировке в Мексике, 28 января 2022г попытался снять в банкомате местного банка Santander 9000 песо по карте Visa Signature банка ""Открытие"" В выдаче было отказано, на дисплее терминала..."
425,"В течение месяца звонит представитель Сбербанка с разных номеров (в черном списке уже 20 номеров), спрашивает незнакомого человека"
426,Банкомат «Тинькофф» выключился при внесении наличных средств
427,"Стал клиентом банка в 2008г  с открытием  валютного счета в доллар, в 2011 был закрыт валютный счёт"
428,"Итак, 24.11.2021 мною была совершена сделка по покупке квартиры"
429,"Всем здравствуйте!  Недавно обратилась в банк Хоум Кредит за помощью, так как каждый месяц у меня сдвигается график платежей"
430,Всем здравствуйте! Мой работодатель имеет зарплатный проект в Россельхозбанке и соответственно у меня имеется зарплатная карта этого банка
431,Проплатил штраф МАДИ через НКО Монета 11.08.2021 года
432,"Вчера я позвонил в поддержку гпб, потому что уже неделю не было новостей по поводу моей дебетовой карты, оформленной через сайт"
433,22.08.2022 около 22-00 (в зоне самообслуживания 24 на пр-те Ленина 35 г
434,"Добрый день! редко пишу отзывы, но банк Абсолют довёл меня до нервного срыва! 7 октября 2021г"
435,В середине ноября была в магазине Zara и увидела там рекламу карты Росбанка с кешбэком в группе магазинов Индитекс
436,Еще в июле(!) рекомендовал другу кредитную карту банка
437,Я обратилась в онлайн-чат Совкомбанка для получения помощи в регистрации на сайте Совкомидея
438,"Этот отзыв я пишу не потому, что случилась какая-то ситуация, а в силу личных убеждений, что хороший сервис тоже должен быть отмечен и не должен проходить незамечено"
439,Сегодня пытался сделать перевод с другого банка на дебетовую карту Тинькова по СБП
440,"Полнейший игнор, 3 сообщения от меня в течение недели остались без единого ответа живого оператора"
441,"Я стала клиентом банка Открытие в сентябре 2019 года, банк мне посоветовал отец для хранения накопленных денежных средств"
442,Заказала валюту в отделение банка
443,"Были закрыти все карты, счета и договора об обслуживании, а также написан отказ от обработки персональных данных"
444,Утром 9 марта я пришла в офис на Рабочего Штаба
445,"26.09.2021 обратилась с просьбой предоставить мне живую справку о состоянии счёта кредитной карты для обращения в визовый центр, назначенное на 28.09.2021"
446,"Хочу выразить своё недовольство банком!  Ежемесячно должен начислятся кешбэк по итогам месяца,  при выполнении условий!  А я вот не могу его дождаться и мурыжат меня уже на протяжении месяца!  Кешбэк -то копеешный,  но здесь уже дело принципа...."
447,"Заказала на сайте карту ""мультибонус"""
448,Уже несколько лет являюсь зарплатным клиентом альфа-банка
449,Всем здравствуйте
450,"Сразу скажу, я давний пользователь этого банка, не самый активный и попытаюсь рассказать почему"
451,Потребовалось сменить паспортные данные в 45 лет
452,"Заказывала карту дебетовую, курьеры привезли все объяснили, были некоторые попроси по программе лояльности,обращалась в поддержку онлайн, вопрос решают в течении максимум дней 3х, стараются подобрать решение индивидуально под клиента"
453,Являлся клиентом банка достаточно долгое время
454,С момента образования Росбанка - я являюсь клиентом Вашим
455,Сделал заявление на вывод средств с брокерского счета
456,"Появилась необходимость получения справки по одной моей операции, т.к"
457,Обслуживаюсь в ЦЕНТР-Инвест более 10 лет
458,"13.06 подала заявку через онлайн чат в приложение Домклик на погашение ипотеки средствами маткапитала .Менеджер дал список документов ,в тот же день я их предоставила ,менеджер сформировал заявление и отправил в япФР ,уже 16.06"
459,"Сотрудники организации без статуса юридического лица, безрегистрации, ОГРН/ ИНН отсутствует, именуемой себя Уральским филиалом АО Райффанзенбанк г Челябинск ул"
460,Позвонили с номера 900
461,У  меня  в системе  Сбербанк  онлайн  и  в  мобильном  приложении  в разделе  счета ДЕПО  исчезли  счета  ДЕПО
462,Совершенно ужасное обслуживание и заимкой персонал
463,10.09.2021 года я перечислила в брокерскую компанию БКС212000 рублей для брокерского пополнения счета № 8********м
464,"Пользовался картой Халва, потом завёл себе карту Совесть затем Совкомбанк подобрал под себя Совесть и у меня стало две карты Халва"
465,"Возмущён наплевательским отношением, к моим 6 письмам написанным в мобильный банк и самое главное, не отвечают на вопрос, почему заблокирована карта?, на каком основании, уже больше месяца, я не имею лоступа к карте, сплошное равнодушие, к..."
